Name	WT_1_log2.cpm.	WT_2_log2.cpm.	DKO_1_log2.cpm.	DKO_2_log2.cpm.
Rps13	140.2639061	125.9755548	1.792533399	1.447938172
Clec4n	240.1846263	259.9337218	8.657797156	7.663481746
Cd163	84.33151691	104.9093898	1.309485423	1.185092771
H2-T10	7.06162397	6.906716469	116.6465639	119.5110329
Ptgis	32.9909862	33.15144843	0.102735023	0.329876978
Gdpd3	0.137071449	0.033749267	83.80706708	120.9276212
Itgad	456.3509739	449.4447604	33.87150064	31.6909719
Igf1	98.7699312	112.1277843	3.931282394	5.00024921
Nr1h3	80.39311239	79.7271946	5.137263236	5.6255728
Hmga1-rs1	0.068203992	0.166546853	25.54554836	22.43998801
Adamdec1	123.7255804	138.2369997	10.23897931	11.2511456
Tgm1	49.41920852	48.6375954	2.620786808	2.86195304
Hebp1	92.92532991	84.44850629	4.275223965	5.559672879
Slc7a8	45.95022434	45.2234766	2.722628233	2.66474965
Rims3	60.8000245	58.16179945	3.964118253	4.475348404
Tspan4	60.5896724	58.48521281	2.86195304	3.750284386
Slc16a10	64.84844161	61.5633571	4.826575679	5.165829401
Csf1r	1167.332631	1329.805929	49.41920852	65.79928491
Slco2b1	107.4856311	103.3933795	3.550445349	5.362850366
Igkv3-2	200.5752799	193.0726498	1771.799942	1867.639123
Ptprm	33.89498671	34.51137381	1.758079122	1.711190051
Crip2	63.11889309	60.17114896	2.20686748	3.356598548
Jup	83.80706708	82.42442429	5.172995728	6.745848882
Vstm4	33.73092555	32.40175384	0.999307093	1.447938172
Asb2	128.1775687	120.0923132	15.55169581	15.69246406
Tnfaip2	36.1018284	33.89498671	1.792533399	1.975201723
Rxra	91.77313587	84.15633665	7.621103984	8.718016898
Stab2	50.94963832	44.20078234	1.8263965	2.599078125
Cela1	30.71773635	28.94014008	1.48246701	1.546492675
Gpr141	27.97371585	21.6455717	0.412938832	0.329876978
Kcnj10	201.1321643	191.2081225	7.862564788	11.68025609
Kitl	16.18965122	17.23178202	0.309712174	0.395568651
Cd68	213.9307415	217.670185	19.06692119	23.81832408
Ccl24	12.12573253	13.74657208	0.137166492	0.066615421
Creg1	458.8885502	433.8342067	48.36863771	55.71523605
Hmox1	1862.4681	1624.747711	61.64876122	88.34031062
Cd302	60.50573547	62.8569341	3.482202253	4.900741328
Nav1_1	24.11735855	28.52193587	0.61985385	0.954621014
Hk3	42.57692931	38.9621126	2.550888783	3.157975547
Col14a1	61.86279021	43.65273072	0.378666579	0.790589117
Fyb	52.27321543	50.14381996	2.446976082	3.652793
Hs3st2	30.21095741	24.30194704	0.964598185	0.691595315
Acp2	97.88392178	95.40546476	5.172995728	7.531827716
Def6	89.20174328	74.4912982	8.310872826	7.732848777
Ptplad2	27.89626367	29.1818613	1.102669163	1.613283518
Epb4.1l3	56.33657687	52.09236384	2.688869988	3.980638887
Tgm2	75.11348341	88.89312869	8.100438459	8.815240927
Tspan9	13.84218705	12.84379822	0.412938832	0.23116582
Timp2	92.34743596	85.27198881	9.794691139	11.51146864
Pygl	30.82438061	36.93713336	1.89605393	2.270484204
Aif1	79.01200684	76.00381863	4.481556857	6.611602545
Tlr13	42.01987601	41.81648812	2.653690281	3.685856745
Cmbl	23.70303677	19.98713801	0.516557194	0.888842681
Vcam1	1671.583839	1941.559225	59.38390249	88.83153402
Adrbk2	25.97406659	28.14877043	1.8263965	2.073402202
Tnfrsf21	67.04231213	72.60515104	7.100890698	8.74828366
Il18	41.18365591	39.26031927	2.310171569	3.324183446
Gpd1	16.15602076	13.93846707	0.3441239	0.560194607
Mpzl1	53.78008014	54.34215977	1.860899315	3.224331326
Lrrc25	57.00434564	49.90110993	6.620774529	6.77865948
Adm	1.825130977	1.493813457	24.82978734	23.05487598
Kctd12b	18.59702572	17.32760073	0.89564567	1.119612889
RP24-247B20.1	12.67575697	13.17745628	0.481964904	0.132402292
Slc45a3	12.01695942	15.03236399	0.378666579	0.362738052
1810011H11Rik	15.9115227	15.30573053	0.309712174	0.724471077
Dock4	20.87927916	21.70566924	1.309485423	1.646040691
St6galnac2	15.57326999	15.23164654	0.447512535	0.823020345
Gtf2ird1	22.7059737	20.80704234	1.275444392	1.613283518
Clec12a	107.4856311	106.226507	7.240051703	10.62948651
Fmnl2	29.93995193	32.49171523	2.688869988	3.125311521
Rnf144b	28.58130728	26.26373148	0.827023368	1.546492675
Ltbr	20.63469201	18.62282455	1.102669163	1.382232207
Tcf7l2	15.40151109	16.92401542	0.964598185	0.987600861
Pilrb1	52.09236384	44.7867477	1.447938172	2.599078125
Sdc3	326.2875206	333.3745125	46.59166557	56.18059505
Sepp1	591.4039217	685.0189081	53.00292233	71.06168535
Amz1	27.76123799	25.56326133	2	2.500124605
Scamp5	23.55562979	22.30043582	1.205807828	1.777685362
Mafb	131.6898186	96.33579183	7.205007839	9.176856194
Sdc2	8.473746677	9.958993883	0.275094652	0.132402292
Gm5150	14.98035596	13.90951296	0.585605091	0.888842681
Prkar1b	20.53481436	17.46022203	0.89564567	1.218410264
A530099J19Rik	6.611602545	5.80783312	0.068203992	0.033749267
Cdc42ep2	17.70395765	17.59385839	1.205807828	1.481439798
Rgs10	53.11325348	52.41834866	5.205367422	7.007986521
Pparg	28.90004832	24.65827547	1.309485423	1.975201723
Cmklr1	17.49656732	18.4941873	1.344434994	0.888842681
B4galt4	11.85151838	14.80487085	0.206183387	0.494142826
Pak1	20.15407968	21.34757071	1.102669163	1.646040691
B430306N03Rik	54.68222342	48.16789592	7.759695283	7.568461174
Maf	45.88656794	48.30163099	2.067661472	3.521036054
Sash1	71.25898357	61.0957449	3.206501318	5.098242509
Il18bp	27.6651914	28.42325747	3.276146791	3.190980959
Nfasc	5.684368173	5.311060634	0.033749267	0.066615421
Csf3r	15.84548595	15.67072476	1.240567298	1.316766922
Glis3	7.610546211	9.063071082	0.102735023	0.264071406
Slc8a1	16.87715707	18.922096	1.309485423	1.481439798
Ctsb	3320.074731	3565.775107	484.7173792	582.8577429
Akr1b7	12.60566218	18.12614216	0.378666579	0.395568651
Slc12a7	40.89917962	38.29276682	3.3449856	4.607550569
Hbb-bs	178.0328924	121.9376637	7.448758559	9.573191706
Pdgfb	12.15939885	11.61566624	0.723467443	0.790589117
Slc16a9	43.95635947	41.26938402	1.205807828	2.370185542
Snta1	14.91818378	13.90951296	1.137605228	0.954621014
Ppfia4	20.11221399	22.03920074	1.964279191	2.073402202
Serpinb6a	145.6134692	139.1020624	19.21285484	24.93326655
Kcnj16	61.22292212	58.24248474	2.067661472	3.750284386
AF251705	51.84022231	49.93571073	2.584705661	4.31093258
Mras	11.98368748	10.82278585	0.516557194	0.724471077
Wdfy3	41.01273357	43.71328822	2.067661472	3.487032958
Ptgs1	97.88392178	112.1277843	5.137263236	8.224910613
Sort1	123.7255804	121.1793448	4.172754374	7.270224932
Cystm1	9.986644391	9.794691139	0.516557194	0.625898229
Acer3	56.96484693	59.87990386	9.031715238	10.59271128
Ear2	58.16179945	57.88028016	3.067365319	5.13370359
Agmo	6.37312077	7.23503502	0.102735023	0.264071406
Rgl1	81.17704956	82.71058116	17.31559431	16.31356293
Ccdc148	15.60568738	15.10547871	1.172022284	0.625898229
Ckb	51.7684063	44.56996738	7.652865265	6.57960055
Nfam1	79.78247643	82.19621178	15.5840683	17.07720541
Fgd4	11.32940351	11.35298685	0.654289036	0.922103118
Sema6d	70.66872622	92.0279381	8.242031629	10.26740718
Vnn3	16.42703273	17.75311155	0.481964904	1.086734863
Lrp4	20.53481436	16.92401542	0.61985385	1.185092771
Ctsd	1270.340913	1258.073068	210.4013279	252.6506357
Epor	14.01597304	13.47300726	0.275094652	0.790589117
Pdgfc	10.98908987	10.58537152	0.89564567	0.757333158
Tns1	32.55935015	27.95433267	2.240778428	3.224331326
Nid2	8.544523264	8	0.481964904	0.461371246
Clec1b	28.80006175	30.50555345	1.378405153	2.46741434
Lair1	80.05946113	80.8961983	5.311060634	8.456144324
Tgfbi	102.8216316	96.87147475	5.621674801	9.145106683
Havcr2	9.9176616	10.1894198	0.516557194	0.790589117
Abcd2	15.9115227	14.10368253	0.86154616	1.316766922
Dmpk	20.93724914	19.4810563	1.137605228	1.876442393
